"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","analysis","direction","tested_sets","pathway_id","pathway_name"
"hsa04927 Cortisol synthesis and secretion",0.559233821082718,0.682897505411766,0.0108237303937797,-0.289586869015546,-0.929558210849999,23,"CREB5;ITPR1;LDLR;CREB3","reference95","Down",348,"hsa04927","Cortisol synthesis and secretion"
"hsa04928 Parathyroid hormone synthesis, secretion and action",0.454848640328374,0.616312935376701,0.0112286847387993,0.2560810778993,0.999903077702589,58,"NR4A2;FOS;MAFB;GATA3;PRKCA;ADCY7;CREB3L3;MAPK3;GNAS;GNAI2;NACA;SP1;ARRB1;GNA12;ATF4;OXSR1","reference95","Up",348,"hsa04928","Parathyroid hormone synthesis, secretion and action"
"hsa04929 GnRH secretion",0.676703984901128,0.771768704526291,0.00950314874859924,-0.251341889108396,-0.862901780791414,30,"GABBR1;ITPR1;AKT3;KCNN4;TRPC1","reference95","Down",348,"hsa04929","GnRH secretion"
"hsa04930 Type II diabetes mellitus",0.10798462852263,0.272809982431873,0.0279559752844075,-0.413957110296296,-1.34352986815396,24,"SOCS2;TNF;PRKCE;INSR;HKDC1;PRKCD;MTOR;SOCS1","reference95","Down",348,"hsa04930","Type II diabetes mellitus"
"hsa04931 Insulin resistance",0.172071359521926,0.344142719043853,0.0221346951892185,-0.285825142409342,-1.18749331825828,71,"CREB5;TNF;PRKCE;INSR;PYGB;SREBF1;AKT3;CREB3;PRKCD;OGA;GSK3B;NFKBIA;MLXIP;TBC1D4;SLC2A1;MTOR;PPARA;PRKAB2;PTEN","reference95","Down",348,"hsa04931","Insulin resistance"
"hsa04932 Non-alcoholic fatty liver disease",0.00187212528813974,0.0241296148249122,0.203925512082896,0.366131378944,1.62430303212316,119,"FOS;TGFB1;RELA;COX5A;BAX;NDUFAB1;UQCRHL;NDUFC2;MAPK9;NDUFA6;NDUFA12;COX6A1;AKT1;COX6C;COX8A;COX7A2L;COX7B;UQCRH;BID;MAP3K11;ADIPOR2;PRKAG2;NDUFA9;PIK3R3;CYC1;COX4I1;NDUFB7;NDUFS3;NDUFB11;ATF4;RAC1;NFKB1;ADIPOR1;COX7A2;SDHC;NDUFA8;NDUFV2;NDUFB9;SOCS3;UQCR11","reference95","Up",348,"hsa04932","Non-alcoholic fatty liver disease"
"hsa04933 AGE-RAGE signaling pathway in diabetic complications",0.0909895622026334,0.255357803600939,0.0283236346163663,0.340593572962455,1.31368520631846,55,"STAT5A;TGFB1;RELA;BAX;PIM1;CDK4;STAT3;MAPK9;AKT1;PRKCA;MAPK3","reference95","Up",348,"hsa04933","AGE-RAGE signaling pathway in diabetic complications"
"hsa04934 Cushing syndrome",0.49199941280094,0.646097342093309,0.0106599884084093,0.243366012540396,0.978735653691886,68,"FH;CDK4;E2F1;ORAI1;ARNT;ADCY7;CREB3L3;MAPK3;GNAS;RAP1A;GNAI2;RAP1B;SP1;FZD6;CDK2;AXIN1;ATF4","reference95","Up",348,"hsa04934","Cushing syndrome"
"hsa04935 Growth hormone synthesis, secretion and action",0.139155963302752,0.302664220183486,0.0225239792651397,0.304409901817429,1.22715274032794,69,"JUNB;STAT5A;FOS;STAT3;MAPK9;MAP2K3;AKT1;PRKCA;ADCY7;CREB3L3;MAPK3;GNAS;GNAI2;MAP3K1;PIK3R3","reference95","Up",348,"hsa04935","Growth hormone synthesis, secretion and action"
"hsa04936 Alcoholic liver disease",0.126680477806673,0.292854754365898,0.0261286312316982,-0.292457520465457,-1.2301821777102,76,"CXCL3;TNF;TICAM1;CXCL2;SCD;ACADVL;ALDH2;CXCL8;SREBF1;AKT3;CASP8;IRF3;GSK3B;NFKBIA;FAS;TRAF6;PPARA;LEF1;PRKAB2;TAB1;TRADD","reference95","Down",348,"hsa04936","Alcoholic liver disease"
"hsa04940 Type I diabetes mellitus",0.127072034221985,0.292854754365898,0.0241674656850957,0.514377947499728,1.35244181204189,12,"HSPD1;HLA-C;HLA-E;HLA-B;HLA-A","reference95","Up",348,"hsa04940","Type I diabetes mellitus"
"hsa04960 Aldosterone-regulated sodium reabsorption",0.258344055097253,0.434317541902628,0.0162255512747622,0.382729432968584,1.16277685469321,20,"ATP1B3;ATP1A1;PRKCA;MAPK3;PIK3R3;NEDD4L;MAPK1;PIK3R2;PIK3R1;ATP1A3;PIK3CB;KRAS;PRKCB","reference95","Up",348,"hsa04960","Aldosterone-regulated sodium reabsorption"
"hsa04961 Endocrine and other factor-regulated calcium reabsorption",0.155091285526068,0.324255667066051,0.0215318600345001,0.395380766699531,1.27141747878031,25,"ATP1B3;ATP1A1;PRKCA;GNAS;ATP2B1;CLTB;CLTC","reference95","Up",348,"hsa04961","Endocrine and other factor-regulated calcium reabsorption"
"hsa04962 Vasopressin-regulated water reabsorption",0.643606500988907,0.74410319715661,0.00987030767168861,-0.253468328229106,-0.88456502956209,32,"CREB5;VAMP2;CREB3;DYNC2LI1;DCTN4;DYNC1I2;CREB3L2;RAB11B;CREB1;DCTN6","reference95","Down",348,"hsa04962","Vasopressin-regulated water reabsorption"
"hsa04964 Proximal tubule bicarbonate reclamation",0.231057277138818,0.407837200227575,0.0173954047448892,0.48864189483927,1.21913694521934,10,"ATP1B3;ATP1A1","reference95","Up",348,"hsa04964","Proximal tubule bicarbonate reclamation"
