"cluster","cell_type","panel","gene","mean_log_expression","pct_expressing"
"10","T-lineage candidate","T lineage","CD7",2.1757739061279,96.1656441717791
"10","T-lineage candidate","Immaturity","DNTT",0.77673509847937,47.239263803681
"10","T-lineage candidate","Immaturity","PTCRA",0.124030732189876,10.7361963190184
"10","T-lineage candidate","Immaturity","CD34",0.00419590839827394,0.306748466257669
"10","T-lineage candidate","Immaturity","SOX4",2.14864514178809,94.0184049079755
"10","T-lineage candidate","B cell","MS4A1",0.00638557205362845,0.460122699386503
"10","T-lineage candidate","B cell","CD79A",0.889459686099182,59.5092024539877
"10","T-lineage candidate","B cell","CD79B",0.0315736672163979,3.68098159509202
"10","T-lineage candidate","Myeloid","LYZ",0.00113009346223851,0.153374233128834
"10","T-lineage candidate","Myeloid","LST1",0.700796416528851,49.2331288343558
"10","T-lineage candidate","Myeloid","FCN1",0.0027116311011784,0.306748466257669
"10","T-lineage candidate","pDC","CLEC4C",0,0
"10","T-lineage candidate","pDC","LILRA4",0,0
"10","T-lineage candidate","pDC","TCF4",0.0247494513003316,2.60736196319018
"10","T-lineage candidate","Erythroid","HBB",0.063943831813407,6.28834355828221
"10","T-lineage candidate","Erythroid","ALAS2",0.00206668901648943,0.153374233128834
"10","T-lineage candidate","Erythroid","AHSP",0.00656881820050734,0.766871165644172
"10","T-lineage candidate","Cytotoxic","NKG7",0.553210411824211,35.8895705521472
"10","T-lineage candidate","Cytotoxic","GNLY",0.212257828321861,7.97546012269939
"10","T-lineage candidate","Cytotoxic","KLRD1",0.0545904427413061,4.29447852760736
"10","T-lineage candidate","Cell cycle","MKI67",0.0485689548170251,4.75460122699387
"10","T-lineage candidate","Cell cycle","TOP2A",0.0327739819864473,3.52760736196319
"10","T-lineage candidate","Cell cycle","UBE2C",0.00781577017837159,0.920245398773006
"11","B cell","T lineage","CD3D",0.17302558734894,12.4183006535948
"11","B cell","T lineage","CD3E",0.173590530942531,11.7647058823529
"11","B cell","T lineage","TRAC",0.143728979105478,13.7254901960784
"11","B cell","T lineage","CD5",0.067273676084844,8.71459694989107
"11","B cell","T lineage","CD7",0.177097957596238,12.2004357298475
"11","B cell","Immaturity","DNTT",0.115077713404967,6.75381263616558
"11","B cell","Immaturity","PTCRA",0.00266989530275194,0.435729847494553
"11","B cell","Immaturity","CD34",0.00864455225665249,0.65359477124183
"11","B cell","Immaturity","SOX4",0.612177484798699,44.880174291939
"11","B cell","B cell","MS4A1",2.08311233813371,89.3246187363834
"11","B cell","B cell","CD79A",2.7233156670617,98.6928104575163
"11","B cell","B cell","CD79B",2.08032397710133,94.7712418300653
"11","B cell","Myeloid","LYZ",0.0110713386245132,0.435729847494553
