"pathway","gene","shared_with_bulk_same_pathway","in_sc_mitophagy_leading_edge","in_sc_proteasome_leading_edge","in_curated_STAT5_target_sets","logFC","PValue","FDR","rank_stat"
"Ribosome","MRPL39",FALSE,FALSE,FALSE,FALSE,0.167653065162667,0.743783793294117,0.999578157159551,0.339457839711958
"Ribosome","RPL32",TRUE,FALSE,FALSE,FALSE,0.156855323180288,0.748362397843273,0.999578157159551,0.33308993531991
"Ribosome","RPL17",TRUE,FALSE,FALSE,FALSE,0.149215947585407,0.748707094195143,0.999578157159551,0.33261422607389
"Ribosome","RPL12",FALSE,FALSE,FALSE,FALSE,0.139968056334152,0.749682701848156,0.999578157159551,0.331268263053027
"Ribosome biogenesis","DKC1",FALSE,FALSE,FALSE,FALSE,0.864277591647384,0.0610031485182354,0.999578157159551,2.20979799514
"Ribosome biogenesis","UTP4",FALSE,FALSE,FALSE,FALSE,0.890583902260003,0.141311126881789,0.999578157159551,1.64797429055429
"Ribosome biogenesis","EIF6",TRUE,FALSE,FALSE,FALSE,0.522979665642731,0.171875037010328,0.999578157159551,1.51353413923739
"Ribosome biogenesis","NXT1",FALSE,FALSE,FALSE,FALSE,0.666066584944144,0.176380366095321,0.999578157159551,1.4956261348652
"Ribosome biogenesis","NOP56",FALSE,FALSE,FALSE,FALSE,0.495500183067822,0.177971989512841,0.999578157159551,1.48938582046712
"Ribosome biogenesis","RRP7A",TRUE,FALSE,FALSE,FALSE,0.557365995619515,0.181490539849981,0.999578157159551,1.47589656978924
"Ribosome biogenesis","WDR36",FALSE,FALSE,FALSE,FALSE,0.817453264503721,0.18851794715182,0.999578157159551,1.44935691886253
"Ribosome biogenesis","NOP10",FALSE,FALSE,FALSE,FALSE,0.498932659828095,0.20169756357101,0.999578157159551,1.40196317507506
"Ribosome biogenesis","GTPBP4",FALSE,FALSE,FALSE,FALSE,1.03073636115688,0.212789617348154,0.999578157159551,1.36421506997678
"Ribosome biogenesis","GNL3L",FALSE,FALSE,FALSE,FALSE,0.561431436259157,0.232479686897528,0.999578157159551,1.30138910088337
"Ribosome biogenesis","RIOK1",TRUE,FALSE,FALSE,FALSE,0.668915466297443,0.245003011485136,0.999578157159551,1.2634930099803
"Ribosome biogenesis","POP1",FALSE,FALSE,FALSE,FALSE,0.746663722705436,0.258126473375664,0.999578157159551,1.22021586352724
"Ribosome biogenesis","WDR43",FALSE,FALSE,FALSE,FALSE,0.548743483728154,0.27532270131361,0.999578157159551,1.17849853445289
"Ribosome biogenesis","POP7",TRUE,FALSE,FALSE,FALSE,0.499426823988194,0.281826088193248,0.999578157159551,1.16138428636664
"Ribosome biogenesis","IMP3",TRUE,FALSE,FALSE,FALSE,0.508841158302093,0.282409413277146,0.999578157159551,1.15977334913547
"Ribosome biogenesis","IMP4",FALSE,FALSE,FALSE,FALSE,0.43943858329288,0.295581714887887,0.999578157159551,1.12597469099097
"Ribosome biogenesis","MDN1",FALSE,FALSE,FALSE,FALSE,0.451643722647286,0.301069784116137,0.999578157159551,1.11240564505697
"Ribosome biogenesis","UTP18",FALSE,FALSE,FALSE,FALSE,0.447376730934999,0.336032727200909,0.999578157159551,1.02926356787219
"Ribosome biogenesis","NHP2",TRUE,FALSE,FALSE,FALSE,0.339245416664454,0.341212552139028,0.999578157159551,1.01751753640833
"Ribosome biogenesis","GNL2",FALSE,FALSE,FALSE,FALSE,0.389597240755101,0.341465308121967,0.999578157159551,1.01695929890111
"Ribosome biogenesis","NOP58",FALSE,FALSE,FALSE,FALSE,0.426852542230363,0.352051726205321,0.999578157159551,0.993444129363055
"Ribosome biogenesis","RAN",FALSE,FALSE,FALSE,FALSE,0.295229092150963,0.391320349221803,0.999578157159551,0.910712849176565
"Ribosome biogenesis","RCL1",FALSE,FALSE,FALSE,FALSE,0.480021072704347,0.408770240188574,0.999578157159551,0.876009174617975
"Ribosome biogenesis","HEATR1",FALSE,FALSE,FALSE,FALSE,0.429343747268332,0.415207673228489,0.999578157159551,0.863408894619194
"Ribosome biogenesis","CSNK2A2",TRUE,TRUE,FALSE,FALSE,0.307463793038798,0.424079073777955,0.999578157159551,0.846280114863083
"Ribosome biogenesis","LSG1",FALSE,FALSE,FALSE,FALSE,0.326133302784423,0.457004209753546,0.999578157159551,0.785009714433502
"Ribosome biogenesis","SNU13",FALSE,FALSE,FALSE,FALSE,0.301220638261769,0.473192924803718,0.999578157159551,0.75595392224842
"Ribosome biogenesis","POP4",FALSE,FALSE,FALSE,FALSE,0.332305379377105,0.487959344146584,0.999578157159551,0.730068346503308
"Ribosome biogenesis","GNL3",FALSE,FALSE,FALSE,FALSE,0.276484809951988,0.494946110887276,0.999578157159551,0.717978873917219
"Ribosome biogenesis","GAR1",FALSE,FALSE,FALSE,FALSE,0.261051366599489,0.500699136913089,0.999578157159551,0.708117403189569
"Ribosome biogenesis","AK6",FALSE,FALSE,FALSE,FALSE,0.322428839376777,0.501397897711082,0.999578157159551,0.706947482804998
"Ribosome biogenesis","FBL",FALSE,FALSE,FALSE,FALSE,0.291069693517012,0.505747951768218,0.999578157159551,0.699517154556315
