"analysis_population","pathway_id","pathway_name","pathway_label","gene","compartment","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TBC1D15","potential_malignant_T_cells_CNV_high_top25",-0.0610854214354281,4.8881575747981,0.0215297655887184,0.887288663818685,0.999578157159551,-0.146730247695281
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TBC1D17","potential_malignant_T_cells_CNV_high_top25",-0.463299903960485,4.97335265125924,1.05372799199807,0.337237725356922,0.999578157159551,-1.0265125386463
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TBK1","potential_malignant_T_cells_CNV_high_top25",-0.217104897312835,2.86564234094211,0.0358887352762814,0.854843351042782,0.999578157159551,-0.189443224413758
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TFE3","potential_malignant_T_cells_CNV_high_top25",0.806778671023731,4.95018057683843,2.34452587122669,0.167575822918768,0.999578157159551,1.53118446675333
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TOMM20","potential_malignant_T_cells_CNV_high_top25",0.33205747034,7.74840632627954,0.67554216758859,0.436960070699935,0.999578157159551,0.821913722715827
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TOMM40","potential_malignant_T_cells_CNV_high_top25",0.743846004614879,5.90249173845359,4.50154531234601,0.069662520996035,0.999578157159551,2.12168454590828
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TOMM40L","potential_malignant_T_cells_CNV_high_top25",-0.250859161604361,2.95343858700792,0.189835190223721,0.675607276511113,0.999578157159551,-0.435700803561023
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TOMM7","potential_malignant_T_cells_CNV_high_top25",0.146668914409976,8.09851644715273,0.163242667063328,0.697681367566991,0.999578157159551,0.404033002443276
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TOMM70","potential_malignant_T_cells_CNV_high_top25",0.483212898045447,5.42483547016992,1.80541370379046,0.219053602547365,0.999578157159551,1.34365684004156
"potential malignant T cells (CNV-high top 25%)","hsa04137","Mitophagy - animal","KEGG Mitophagy - animal","TP53","potential_malignant_T_cells_CNV_high_top25",-0.521430311550212,4.14699837997692,0.765548828990676,0.409300653542323,0.999578157159551,-0.874956472626311
