"analysis_population","gene","logFC","logCPM","F","PValue","FDR","rank_stat"
"potential malignant T cells (CNV-high top 25%)","INVS",-0.758933417590406,4.52681022639623,2.74294517460899,0.139626096869671,0.999578157159551,-1.65618391931844
"potential malignant T cells (CNV-high top 25%)","SNAPC3",-0.764155478175664,4.01457078597695,2.74192833339489,0.139717253348256,0.999578157159551,-1.65587690768212
"potential malignant T cells (CNV-high top 25%)","CCNL2",-0.569866457811601,6.00637299061527,2.73999004456608,0.139775911632846,0.999578157159551,-1.65529152857316
"potential malignant T cells (CNV-high top 25%)","PROM1",1.5288663184264,2.64978062962022,2.73321180212586,0.144884888670918,0.999578157159551,1.65324281402517
"potential malignant T cells (CNV-high top 25%)","TRIM26",0.982735000659898,4.17718659336787,2.73204328473776,0.140380271439027,0.999578157159551,1.65288937462184
"potential malignant T cells (CNV-high top 25%)","SMAD1",-0.836199797779974,3.91441604943548,2.73175035348663,0.14041764306311,0.999578157159551,-1.65280076037211
"potential malignant T cells (CNV-high top 25%)","ATP1A1",0.58610887339504,6.40010074832207,2.72944002116386,0.140432328758913,0.999578157159551,1.65210169819048
"potential malignant T cells (CNV-high top 25%)","HIST2H2AC",0.56218477524545,6.14343621281667,2.72693290946219,0.140589510123041,0.999578157159551,1.65134275953304
"potential malignant T cells (CNV-high top 25%)","TMED3",0.615632431059223,5.74313452697734,2.72585302021945,0.140665076875131,0.999578157159551,1.65101575407973
"potential malignant T cells (CNV-high top 25%)","DDX21",0.698170650160539,6.85049926185665,2.7237827635801,0.140784865567588,0.999578157159551,1.6503886704592
"potential malignant T cells (CNV-high top 25%)","LINC01278",-0.702075292220136,5.00612249971525,2.72036992212549,0.141011592052837,0.999578157159551,-1.64935439555163
"potential malignant T cells (CNV-high top 25%)","ACBD4",-1.02463836844501,3.40224781790802,2.71735254636784,0.141317094135355,0.999578157159551,-1.64843942757016
"potential malignant T cells (CNV-high top 25%)","LRRC38",-0.752910050332617,4.8070483332253,2.71613822923209,0.141343509697096,0.999578157159551,-1.64807106316205
"potential malignant T cells (CNV-high top 25%)","UTP4",0.890583902260003,5.0014801815252,2.71581926232792,0.141311126881789,0.999578157159551,1.64797429055429
"potential malignant T cells (CNV-high top 25%)","TMEM222",0.70580719518421,5.1771568773465,2.71474819919554,0.141372570298801,0.999578157159551,1.64764929496405
"potential malignant T cells (CNV-high top 25%)","TMEM147",0.579568909022066,6.04638880055828,2.71018894650698,0.141644245549688,0.999578157159551,1.64626515072967
"potential malignant T cells (CNV-high top 25%)","PGRMC1",0.643391379856383,5.54007902659348,2.70805301140709,0.141782633640914,0.999578157159551,1.645616301392
"potential malignant T cells (CNV-high top 25%)","HBP1",-0.585950621628498,5.4077014910974,2.70590911916539,0.141917367152425,0.999578157159551,-1.64496477748473
"potential malignant T cells (CNV-high top 25%)","MAFK",-0.97837804027113,4.03906063344824,2.69870991440733,0.142428973827609,0.999578157159551,-1.64277506506744
"potential malignant T cells (CNV-high top 25%)","GRK6",0.688990429170881,6.78426301446097,2.69730983709854,0.142486200940719,0.999578157159551,1.64234887800934
