"pathway","gene","in_sc_leading_edge","in_bulk_leading_edge","shared_leading_edge","STAT5_axis_gene","curated_STAT5_target"
"B cell receptor signaling pathway","PPP3R1",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","PTPN6",TRUE,FALSE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","RAC2",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","RASGRP3",FALSE,TRUE,FALSE,FALSE,FALSE
"B cell receptor signaling pathway","VAV1",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","COX4I1",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","COX5A",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","COX6A1",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","COX6C",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","COX7A2L",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","COX8A",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","CYC1",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","TPM3",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","TPM4",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","UQCRH",TRUE,TRUE,TRUE,FALSE,FALSE
"Cardiac muscle contraction","ASPH",TRUE,FALSE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","ATP1A1",TRUE,FALSE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","ATP1B3",TRUE,FALSE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","ATP2A2",TRUE,FALSE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","CACNA1D",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","CACNA1S",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","CACNB3",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","CACNG4",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","COX1",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","COX4I2",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","COX6B1",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","COX7A2",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","COX7B",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","CYTB",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","RYR2",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","TNNI3",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","TPM1",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","TPM2",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","UQCR10",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","UQCRFS1",FALSE,TRUE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","UQCRHL",TRUE,FALSE,FALSE,FALSE,FALSE
"Cardiac muscle contraction","UQCRQ",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","B2M",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","BAX",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","CALR",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","CD44",TRUE,TRUE,TRUE,FALSE,TRUE
"Epstein-Barr virus infection","GADD45B",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","JAK3",TRUE,TRUE,TRUE,TRUE,TRUE
"Epstein-Barr virus infection","MAP2K3",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","MYD88",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","NFKB1",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","OAS3",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","PSMC5",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","PSMD8",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","RELA",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","RELB",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","RUNX3",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","TAP1",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","TAP2",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","TAPBP",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","VIM",TRUE,TRUE,TRUE,FALSE,FALSE
"Epstein-Barr virus infection","ADRM1",TRUE,FALSE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","AKT1",TRUE,FALSE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","BCL2",FALSE,TRUE,FALSE,TRUE,TRUE
"Epstein-Barr virus infection","BCL2L11",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","BID",TRUE,FALSE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","BLNK",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","CASP8",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","CCND1",FALSE,TRUE,FALSE,TRUE,FALSE
"Epstein-Barr virus infection","CCND2",FALSE,TRUE,FALSE,TRUE,TRUE
"Epstein-Barr virus infection","CCND3",FALSE,TRUE,FALSE,TRUE,FALSE
"Epstein-Barr virus infection","CD19",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","CD247",TRUE,FALSE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","CD40",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","CD58",TRUE,FALSE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","CDK4",TRUE,FALSE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","CXCL10",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","CYCS",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","DDB2",TRUE,FALSE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","E2F1",TRUE,FALSE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","FAS",FALSE,TRUE,FALSE,FALSE,TRUE
"Epstein-Barr virus infection","GADD45A",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","GADD45G",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-AA",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-AB1",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-D1",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-DMB1",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-DMB2",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-EB1",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-K1",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-M2",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-M3",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-OA",FALSE,TRUE,FALSE,FALSE,FALSE
"Epstein-Barr virus infection","H2-Q10",FALSE,TRUE,FALSE,FALSE,FALSE
