"gene","P1_delta","P2_delta","P3_delta","n_pairs_up","n_pairs_down","mean_pair_delta","median_pair_delta","logFC","PValue","FDR","rank_stat","pathway_membership","leading_edge_pathways","any_leading_edge","paired_direction_consistency","gene_level_FDR_lt_0.05"
"ST3GAL2",1.40789610003462,-0.451343213458373,-0.470134712726363,1,2,0.162139391283293,-0.451343213458373,0.0271856064778764,0.959278000798913,0.999578157159551,0.0528271977818795,"Glycosphingolipid biosynthesis - ganglio series; Glycosphingolipid biosynthesis - globo and isoglobo series","",FALSE,"down in 2/3",FALSE
"MAPK14",1.25628265289498,-0.868501983117391,-0.0591197425777841,1,2,0.109553642399934,-0.0591197425777841,0.0189237789205958,0.968175519752372,0.999578157159551,0.041274792415789,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"FYN",0.560051309479126,0.0835513997616273,-0.427369009502401,2,1,0.0720778999127842,0.0835513997616273,0.0183731519562424,0.959179489693918,0.999578157159551,0.0529527784371699,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"CERS2",-0.325000043542137,0.327866467461167,0.177092496081787,2,1,0.059986306666939,0.177092496081787,0.0166048159354662,0.96529650390212,0.999578157159551,0.0450113295428445,"Sphingolipid metabolism; Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"MAPK8",0.181325355180241,-0.478571863243655,0.479904601116057,2,1,0.0608860310175476,0.181325355180241,0.0154796261808011,0.96835156196862,0.999578157159551,0.041046183684021,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"HEXA",-0.10471359336846,-0.00201021539885282,0.253565268028759,1,2,0.0489471530871487,-0.00201021539885282,0.00229834190581601,0.994862148609395,0.999578157159551,0.00666140957512003,"Glycosphingolipid biosynthesis - ganglio series; Glycosphingolipid biosynthesis - globo and isoglobo series; Sphingolipid metabolism","",FALSE,"down in 2/3",FALSE
"MAPK13",0.747026885562674,-1.41058578583321,0.446782731862142,2,1,-0.0722587228027991,0.446782731862142,0.00206270924897358,0.999695109849208,0.999722071545116,0.000393131721637504,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"RHOA",0.295606503327651,-0.677130100809324,0.527228557573308,2,1,0.048568320030545,0.295606503327651,-0.0010319689820432,0.997949962269403,0.999578157159551,-0.00265792050181717,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"RAF1",0.46416289678547,-0.265807947880914,-0.0386289778332154,1,2,0.0532419903571135,-0.0386289778332154,-0.00238044222940072,0.994788299923224,0.999578157159551,-0.00675716575556194,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"GLB1",-0.0340320242101422,0.564624626120893,-0.389384647284033,1,2,0.0470693182089059,-0.0340320242101422,-0.00972406377112778,0.981514831651173,0.999578157159551,-0.0239694070949927,"Glycosphingolipid biosynthesis - ganglio series; Sphingolipid metabolism","",FALSE,"down in 2/3",FALSE
"PPP2R2A",0.790346296201582,-0.484877864790594,-0.140582320163267,1,2,0.0549620370825738,-0.140582320163267,-0.0152782926347239,0.969744833548021,0.999578157159551,-0.0392382281654088,"Sphingolipid signaling pathway","",FALSE,"down in 2/3",FALSE
"RAC2",-0.775111798180975,0.813531019286545,0.0532804826446007,2,1,0.0305665679167237,0.0532804826446007,-0.0171132220645475,0.969808285772253,0.999578157159551,-0.0391555575878999,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"PLCB2",0.0604421091190304,-0.219054763605742,0.193648069927668,2,1,0.0116784718136519,0.0604421091190304,-0.0273602378552656,0.948372512507581,0.999578157159551,-0.0669972539810471,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
"UGCG",0.470353085050793,0.0813567249125304,-0.457095436557033,2,1,0.0315381244687634,0.0813567249125304,-0.0276592773269882,0.947020072911258,0.999578157159551,-0.0687525524508124,"Sphingolipid metabolism","",FALSE,"up in 2/3",FALSE
"TNFRSF1A",-0.96803092038135,0.895395335450146,0.0434447568241545,2,1,-0.00973027603568329,0.0434447568241545,-0.0287736690881886,0.953770365747391,0.999578157159551,-0.0599802662070363,"Sphingolipid signaling pathway","",FALSE,"up in 2/3",FALSE
