"selection_scope","top_fraction","mt_max","min_features","upper_feature_cap","specification_axis","gene_filter","robust_dispersion","normalization","rank_metric","specification_id","n_cells_total","min_cells_per_sample","max_cells_per_sample","sample_cell_imbalance_ratio","diagnosis_cells_n","relapse_cells_n","median_percent_mt","median_nFeature_RNA","cycling_prop","immature_prop","quiescent_prop","er_stress_prop","valid","invalid_reason","primary_equivalent"
"global",0.2,4.5,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ072",1306,50,427,8.54,409,897,3.03424473376139,1853,0.454823889739663,0.424196018376723,0.113323124042879,0.00765696784073507,TRUE,"",FALSE
"global",0.2,5,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ073",2566,93,811,8.72043010752688,1068,1498,3.14359191343267,1571.5,0.393998441153546,0.308651597817615,0.284879189399844,0.0124707716289945,TRUE,"",FALSE
"global",0.2,5,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ074",2565,93,811,8.72043010752688,1068,1497,3.1437125748503,1571,0.393762183235867,0.308771929824561,0.284990253411306,0.0124756335282651,TRUE,"",FALSE
"global",0.2,5,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ075",2540,93,808,8.68817204301075,1050,1490,3.15138782785842,1576,0.397244094488189,0.311417322834646,0.279133858267717,0.0122047244094488,TRUE,"",FALSE
"global",0.2,5,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ076",2539,93,808,8.68817204301075,1050,1489,3.15151515151515,1576,0.397006695549429,0.311539976368649,0.279243796770382,0.01220953131154,TRUE,"",FALSE
"global",0.2,5,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ077",2297,79,776,9.82278481012658,861,1436,3.10668229777257,1635,0.424031345232912,0.339573356552024,0.223770134958642,0.0126251632564214,TRUE,"",FALSE
"global",0.2,5,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ078",2296,79,776,9.82278481012658,861,1435,3.10687036198996,1635,0.423780487804878,0.339721254355401,0.223867595818815,0.0126306620209059,TRUE,"",FALSE
"global",0.2,5,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ079",1450,58,471,8.12068965517241,437,1013,3.17181898311612,1855,0.457931034482759,0.424827586206897,0.109655172413793,0.00758620689655172,TRUE,"",FALSE
"global",0.2,5,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ080",1449,58,471,8.12068965517241,437,1012,3.1718711581018,1855,0.457556935817805,0.42512077294686,0.109730848861284,0.00759144237405107,TRUE,"",FALSE
"global",0.25,3,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ081",1455,53,450,8.49056603773585,738,717,2.26567349472377,1580,0.353264604810997,0.285910652920962,0.34639175257732,0.0144329896907217,TRUE,"",FALSE
"global",0.25,3,0,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ082",1454,53,450,8.49056603773585,738,716,2.26552283150428,1580,0.352819807427785,0.286107290233838,0.346629986244842,0.0144429160935351,TRUE,"",FALSE
"global",0.25,3,500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ083",1436,52,440,8.46153846153846,725,711,2.27594156956972,1584.5,0.356545961002786,0.289693593314763,0.33983286908078,0.0139275766016713,TRUE,"",FALSE
"global",0.25,3,500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ084",1435,52,440,8.46153846153846,725,710,2.27568270481144,1584,0.35609756097561,0.289895470383275,0.34006968641115,0.0139372822299652,TRUE,"",FALSE
"global",0.25,3,1000,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ085",1357,41,407,9.92682926829268,671,686,2.28498889241511,1618,0.36551215917465,0.303610906411201,0.316138540899042,0.0147383935151069,TRUE,"",FALSE
"global",0.25,3,1000,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ086",1356,41,407,9.92682926829268,671,685,2.28357328438183,1617.5,0.365044247787611,0.303834808259587,0.316371681415929,0.0147492625368732,TRUE,"",FALSE
"global",0.25,3,1500,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ087",848,27,250,9.25925925925926,368,480,2.33797735625655,1834,0.39622641509434,0.398584905660377,0.194575471698113,0.0106132075471698,TRUE,"",FALSE
"global",0.25,3,1500,"sample_q99","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ088",847,27,250,9.25925925925926,368,479,2.33787355153486,1833,0.395513577331759,0.399055489964581,0.194805194805195,0.0106257378984652,TRUE,"",FALSE
"global",0.25,3.5,0,"none","Population + QC","filterByExpr",TRUE,"TMM","signed_sqrt_F","PQ089",1996,74,622,8.40540540540541,903,1093,2.54690909558422,1616.5,0.387274549098196,0.292585170340681,0.306613226452906,0.0135270541082164,TRUE,"",FALSE
